ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE;
2885;Kutas;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;1119;
2792;Ópályi;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;892;
0531;Borsodnádasd;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1054;
3164;Fiad;Tabi;Somogy;Dél-Dunántúl;Dunántúl;664;
2522;Bakonysárkány;Kisbéri;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;1957;
2520;Nagytevel;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1644;
0306;Zádorfalva;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;780;
2252;Balajt;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;625;
0275;Vértesacsa;Bicskei;Fejér;Közép-Dunántúl;Dunántúl;1791;
0416;Bödeháza;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;719;
2906;Nagyberény;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;1461;
2990;Bakonyság;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;870;
3016;Körösújfalu;Szeghalmi;Békés;Dél-Alföld;Alföld és Észak;1207;
2964;Dömsöd;Ráckevei;Pest;Pest;Közép-Magyarország;1397;
0922;Tokorcs;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;2027;
0378;Ócsárd;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;1373;
1159;Piliny;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;1399;
2849;Zalaboldogfa;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1428;
1791;Felsőnyék;Tamási;Tolna;Dél-Dunántúl;Dunántúl;1150;
0991;Tuzsér;Záhonyi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;924;
0887;Apátistvánfalva;Szentgotthárdi;Vas;Nyugat-Dunántúl;Dunántúl;1603;
1273;Horvátlövő;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;1717;
0272;Sáregres;Sárbogárdi;Fejér;Közép-Dunántúl;Dunántúl;1649;
0271;Tótvázsony;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;1893;
0673;Csősz;Székesfehérvári;Fejér;Közép-Dunántúl;Dunántúl;1822;
2750;Szágy;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;727;
3111;Pölöskefő;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;1142;
0954;Kisvaszar;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;614;
2623;Ládbesenyő;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1361;
2307;Horváthertelend;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;505;
1540;Szulimán;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;957;
0426;Mezőtúr;Mezőtúri;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1502;
0882;Teskánd;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;2287;
0443;Udvar;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;1331;
2436;Felsőörs;Balatonalmádi;Veszprém;Közép-Dunántúl;Dunántúl;2081;
2254;Alsószölnök;Szentgotthárdi;Vas;Nyugat-Dunántúl;Dunántúl;1233;
1964;Ófalu;Pécsváradi;Baranya;Dél-Dunántúl;Dunántúl;1244;
1268;Telekgerendás;Békéscsabai;Békés;Dél-Alföld;Alföld és Észak;1692;
0212;Csanádalberti;Makói;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;886;
0505;Csitár;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;1666;
0931;Révleányvár;Cigándi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1056;
2524;Köblény;Komlói;Baranya;Dél-Dunántúl;Dunántúl;901;
0228;Hejőkürt;Tiszaújvárosi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1977;
2090;Mike;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;935;
0489;Bikal;Komlói;Baranya;Dél-Dunántúl;Dunántúl;1552;
0490;Pócsmegyer;Szentendrei;Pest;Pest;Közép-Magyarország;1704;
0966;Babarcszőlős;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;1037;
1609;Atkár;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;1986;
2975;Magyaregregy;Komlói;Baranya;Dél-Dunántúl;Dunántúl;1136;
0645;Gamás;Fonyódi;Somogy;Dél-Dunántúl;Dunántúl;1044;
0890;Nagykereki;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;712;
1031;Pusztacsó;Kőszegi;Vas;Nyugat-Dunántúl;Dunántúl;1440;
2313;Jásztelek;Jászberényi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1244;
0702;Mucsi;Tamási;Tolna;Dél-Dunántúl;Dunántúl;684;
1820;Jászberény;Jászberényi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;2222;
0477;Szakoly;Nagykállói;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1267;
3141;Keszeg;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;1889;
1505;Matty;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;1008;
1625;Lad;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;1093;
3374;Tiszavid;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;641;
1316;Röszke;Szegedi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1519;
1702;Bajánsenye;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;1272;
3109;Hajdúsámson;Debreceni;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1419;
0282;Abaújlak;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1299;
0663;Varsád;Tamási;Tolna;Dél-Dunántúl;Dunántúl;1154;
0391;Csákánydoroszló;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;1552;
2150;Kálócfa;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;1065;
0898;Vámospércs;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1356;
2215;Fülöp;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1005;
1616;Tarnaszentmiklós;Hevesi;Heves;Észak-Magyarország;Alföld és Észak;1121;
1831;Gyód;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;1610;
2416;Hernádkak;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1377;
0536;Csákberény;Móri;Fejér;Közép-Dunántúl;Dunántúl;2081;
1765;Egyházasdengeleg;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;1502;
0793;Kisapáti;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;1588;
3218;Hegyfalu;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;1811;
1440;Bodrogolaszi;Sárospataki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1712;
1766;Vácrátót;Váci;Pest;Pest;Közép-Magyarország;1977;
2983;Nógrádmarcal;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;1486;
0305;Lickóvadamos;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1327;
3124;Visonta;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;2014;
2785;Szolnok;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;2114;
2794;Halmaj;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1497;
2625;Szigetbecse;Ráckevei;Pest;Pest;Közép-Magyarország;1685;
2263;Máriahalom;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;1957;
1358;Felsőcsatár;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;1623;
2092;Kisigmánd;Komáromi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;2321;
3100;Bózsva;Sátoraljaújhelyi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1194;
2337;Hidegség;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1213;
1725;Várgesztes;Tatabányai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;2444;
2334;Tarnaméra;Hevesi;Heves;Észak-Magyarország;Alföld és Észak;2077;
1687;Hugyag;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;980;
1006;Szentimrefalva;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;1393;
3368;Petőfibánya;Hatvani;Heves;Észak-Magyarország;Alföld és Észak;1919;
0700;Nagykarácsony;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;1675;
2748;Lendvadedes;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;1580;
3080;Leányfalu;Szentendrei;Pest;Pest;Közép-Magyarország;2348;
2201;Szamosbecs;Csengeri;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;794;
0816;Tard;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1732;
0808;Ináncs;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1408;
2959;Almáskamarás;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;1026;
2321;Téglás;Hajdúhadházi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1614;
2457;Sámsonháza;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;1207;
1000;Nagydém;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1175;
3373;Kismaros;Szobi;Pest;Pest;Közép-Magyarország;2174;
2327;Budaörs;Budakeszi;Pest;Pest;Közép-Magyarország;2726;
2668;Kecskemét;Kecskeméti;Bács-Kiskun;Dél-Alföld;Alföld és Észak;2152;
2158;Érsekvadkert;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;1589;
2174;Tarcal;Tokaji;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1357;
1428;Csokvaomány;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;911;
1205;Budakeszi;Budakeszi;Pest;Pest;Közép-Magyarország;2325;
0767;Gyulaháza;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1405;
1366;Királyhegyes;Makói;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1201;
1260;Türje;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;1129;
0524;Nemesbikk;Tiszaújvárosi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1338;
2235;Boconád;Hevesi;Heves;Észak-Magyarország;Alföld és Észak;1789;
1168;Diósberény;Tamási;Tolna;Dél-Dunántúl;Dunántúl;1223;
0603;Felsőpakony;Gyáli;Pest;Pest;Közép-Magyarország;1991;
0905;Tarnaszentmária;Egri;Heves;Észak-Magyarország;Alföld és Észak;1705;
2421;Mikepércs;Derecskei;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1709;
1541;Pusztaradvány;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;613;
3420;Kulcs;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;2091;
3135;Darány;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;842;
0894;Körösszegapáti;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1049;
1660;Balatonszabadi;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;1533;
2549;Endrefalva;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;672;
2241;Fényeslitke;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1756;
0722;Vadna;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1901;
2179;Erdőtarcsa;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;1334;
3221;Márkó;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;2428;
1651;Nagyrada;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;1298;
1646;Berkesd;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;1197;
0757;Zalabaksa;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;1259;
0782;Monok;Szerencsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1096;
1610;Mesztegnyő;Marcali;Somogy;Dél-Dunántúl;Dunántúl;1169;
2893;Bakonygyirót;Pannonhalmi;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1651;
1294;Garabonc;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;919;
2845;Csernely;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;745;
2837;Apácatorna;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;1445;
0967;Nemesrempehollós;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;1659;
1730;Tápiógyörgye;Nagykátai;Pest;Pest;Közép-Magyarország;1406;
0776;Kánó;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1532;
0715;Palkonya;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;1341;
2798;Nagyszekeres;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1006;
1419;Nagyváty;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;1042;
1989;Hernyék;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;825;
1677;Székelyszabar;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;1117;
3132;Szabadkígyós;Békéscsabai;Békés;Dél-Alföld;Alföld és Észak;1524;
2791;Mohora;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;1490;
1032;Vizslás;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;1669;
0407;Ócsa;Gyáli;Pest;Pest;Közép-Magyarország;1915;
1709;Orfalu;Szentgotthárdi;Vas;Nyugat-Dunántúl;Dunántúl;1168;
1189;Héreg;Tatabányai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;1792;
2431;Csököly;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;971;
3427;Farkaslyuk;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;545;
2098;Tárkány;Kisbéri;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;1889;
0495;Ortaháza;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;1563;
1954;Szár;Bicskei;Fejér;Közép-Dunántúl;Dunántúl;2411;
2086;Sárok;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;1160;
1210;Vasszilvágy;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;1827;
1638;Tótszentmárton;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;1417;
0624;Pinkamindszent;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;1754;
3319;Doboz;Békéscsabai;Békés;Dél-Alföld;Alföld és Észak;1218;
1245;Csökmő;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1304;
3225;Szakácsi;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;333;
2947;Döbrönte;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1936;
1349;Erzsébet;Pécsváradi;Baranya;Dél-Dunántúl;Dunántúl;1069;
0356;Szentantalfa;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;1082;
0152;Somoskőújfalu;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;1733;
2018;Tiszaroff;Kunhegyesi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;926;
2795;Tilaj;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1040;
2723;Bácsborsód;Bácsalmási;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1157;
0711;Balatonföldvár;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;1729;
1057;Sajtoskál;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;1413;
0284;Felsőzsolca;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1743;
0555;Nemeshany;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;2006;
1091;Karakó;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;1315;
1096;Mogyoróska;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1046;
2325;Fábiánháza;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;988;
1252;Ságújfalu;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;1005;
1926;Szil;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1568;
0829;Bakonya;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;1049;
1449;Ózd;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1168;
1398;Felsőmocsolád;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;965;
0363;Balatonhenye;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;1661;
1459;Görgeteg;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;894;
0322;Magyarlak;Szentgotthárdi;Vas;Nyugat-Dunántúl;Dunántúl;1430;
2821;Litka;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1572;
2331;Pusztaszemes;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;1418;
0385;Tiszabercel;Ibrányi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;960;
1825;Bodajk;Móri;Fejér;Közép-Dunántúl;Dunántúl;2175;
2926;Tác;Székesfehérvári;Fejér;Közép-Dunántúl;Dunántúl;2069;
2834;Vaskút;Bajai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1301;
0935;Aranyosapáti;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;796;
1850;Marcali;Marcali;Somogy;Dél-Dunántúl;Dunántúl;1577;
2382;Rétság;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;2053;
0704;Baracs;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;2116;
1429;Ramocsa;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;758;
2001;Bagamér;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;737;
0946;Jánoshalma;Jánoshalmai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1317;
2367;Balástya;Kisteleki;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1152;
0655;Bölcske;Paksi;Tolna;Dél-Dunántúl;Dunántúl;1834;
2521;Murakeresztúr;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;1560;
0634;Aldebrő;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;1779;
0237;Rád;Váci;Pest;Pest;Közép-Magyarország;2289;
0786;Dunapataj;Kalocsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1316;
1979;Szalmatercs;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;1203;
1206;Hermánszeg;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;810;
1488;Sóshartyán;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;719;
0960;Recsk;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;1378;
1013;Palotabozsok;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;1345;
